,Serie,Titulo,Temporada,Número,Clasificacion,Sinopsis,Genero
72,The Spanish Princess,The Spanish Princess: El campo de tela de oro,Temporada 2,6,SAM16,"Una gran reunión en Francia es el telón de fondo para un choque político de ingenio entre Catalina y Wolsey, mientras que, en Londres, estallan disturbios.","Drama, Literaria"
73,The Spanish Princess,The Spanish Princess: Fe,Temporada 2,7,SAM16,"Una nueva religión está en ascenso, así como la tensión en la corte. Catalina debe evitar que la peligrosa paranoia de Enrique convierta a sus amigos en enemigos…","Drama, Literaria"
74,The Spanish Princess,The Spanish Princess: Paz,Temporada 2,8,SAM16,"Mientas Enrique se sumerge en la locura, las apuestas nunca han sido tan altas para Catalina. Su esposo se ha convertido en una amenaza para su vida.","Secuela, Drama"
75,The Spanish Princess,The Spanish Princess: Tráiler oficial,Temporada 2,9,SAM16,"La princesa española vuelve para seguir con la historia de la reina Catalina y Enrique VIII. Pese a mostrar su valor en la corte, Catalina lucha por salvar su amor con el rey, y se esfuerza para tener un heredero y conservar la prosperidad de su reinado. Nuevos episodios 11 de octubre.",Drama
76,Reign,Reign: Piloto,Temporada 1,1,SAM13,"La joven Mary Stuart viaja a Francia para conocer a su prometido el príncipe Francis. Aunque su madre, la reina Catherine, intente impedirlo.",Drama
77,Reign,Reign: Serpientes en el jardín,Temporada 1,2,SAM13,"Mary y Francis quieren convencer a los ingleses de que su compromiso es fuerte, mientras tanto, Catherine busca a alguien que puede arruinar su plan en contra de Mary.",Drama
78,Reign,Reign: Beso,Temporada 1,3,SAM13,"El rey Henry de Francia rechaza ayudar a Mary contra los ingleses invasores en Escocia, ella sopesa la posibilidad de aliarse con Portugal con una boda.",Drama
79,Reign,Reign: Corazones y mentes,Temporada 1,4,SAM13,"Mary debe mentir para ayudar a su país, Francis y Bash descubren cosas desconcertantes sobre Tomas, que hacen que Mary piense dos veces su propuesta de matrimonio.",Drama
80,Reign,Reign: Frío en el aire,Temporada 1,5,SAM13,"El camino hacia el amor verdadero es complicado para Francis, que se topa con una antigua enamorada; Mary acepta un beso y Kenna insiste en sostener su relación prohibida.",Drama
81,Reign,Reign: La elegida,Temporada 1,6,SAM13,Bash planea salvar a Mary cuando los paganos quieren matarla; los celos de Francis lo arrojan a los brazos de Olivia.,Drama
82,Reign,Reign: Rehénes,Temporada 1,7,SAM13,Mary y Catherine se alían cuando el castillo cae y todos permanecen como rehenes; Diane planea hacer que Henry sepa que Bash es su legítimo heredero.,Drama
83,Reign,Reign: Destino,Temporada 1,8,SAM13,"Henry quiere que Mary y Francis se casen, pero las predicciones de Nostradamus tienen a Mary preocupada. A Catherine le molestan los planes que Diane tiene para Bash.",Drama
84,Reign,Reign: Por el rey y el país,Temporada 1,9,SAM13,Francia se arriesga cuando Mary convence a Henry de tomar una decisión que puede poner en riesgo la legitimidad de su hijo.,Drama
85,Reign,Reign: Sacrificio,Temporada 1,10,SAM13,Mary se involucra con una prisionera embarazada que tiene vínculos con Bash; las amigas de Mary se enredan en los atentados para asesinar a Catherine.,Drama
86,Reign,Reign: Inquisición,Temporada 1,11,SAM13,"Henry descubre secretos oscuros en el pasado de Catherine y la manda arrestar, ella intenta disuadirlo con evidencia en contra de Bash.",Drama
87,Reign,Reign: Sangre real,Temporada 1,12,SAM13,Las extravagancias de Clarissa preocupan a todos y hacen que Mary y Bash se alíen a Catherine. Francis se siente atraído por Lola durante su estancia en París.,Drama
88,Reign,Reign: Consumación,Temporada 1,13,SAM13,"La familia real interfiere cuando Catherine y la madre de Mary la presionan para decidir entre Bash y Francis, lo que resultaría decepcionante para uno de ellos.",Drama
89,Reign,Reign: Secretos,Temporada 1,14,SAM13,Henry necesita la ayuda de Catherine para prevenir una crisis; Mary descubre la identidad del padre del bebé de Lola y Bash rescata a una damisela en peligro.,Drama
90,Reign,Reign: La oscuridad,Temporada 1,15,SAM13,"Bash busca a la famosa criatura del bosque mientras Mary presiona para que Lola se case, Greer se debate entre sus pretendientes y Henry se vuelve más violento.",Drama
91,Reign,Reign: Monstruos,Temporada 1,16,SAM13,Francis y Bash quieren recuperar su buena relación pero Henry interfiere y ordena que uno de ellos se case con su propia amante. Greer acepta la propuesta.,Drama
92,Reign,Reign: Señor feudal,Temporada 1,17,SAM13,Mary se entera de que su contrato matrimonio contiene una cláusula mortal y amenaza a Henry con revelar su enfermedad si no destruye el documento.,Drama
93,Reign,Reign: Sin salida,Temporada 1,18,SAM13,"Francis toma una decisión radical para salvar a Mary de morir, Catherine y Kenna se alían para hacer que Henry deje a su ambiciosa amante.",Drama
94,Reign,Reign: Soldados de juguete,Temporada 1,19,SAM13,Mary intenta evitar una revuelta en Escocia y por eso se enfurece cuando Francis quiere usar al ejército del tío de Mary contra los ingleses.,Drama
95,Reign,Reign: Terrenos peligrosos,Temporada 1,20,SAM13,Mary contrata a un cruel mercenario para colaborar con Escocia; Francis y Leith luchan del lado de los ingleses; Lola duda de la honestidad de su esposo.,Drama
96,Reign,Reign: Larga vida al rey,Temporada 1,21,SAM13,Lola se entera de la verdad sobre Julien y su lealtad se tambalea; Henry decide casarse con Mary; Bash busca al terror en el bosque.,Drama
97,Reign,Reign: El fin de la inocencia,Temporada 1,22,SAM13,"El reinado de Henry está por sufrir un golpe de estado, Francis acude a apoyar a Lola cuando da a Luz; Mary está preparada para proteger al castillo de la peste.",Drama
98,Reign,Reign: La peste,Temporada 2,1,SAM13,La peste arrasa el país y Francisco va en búsqueda de Lola y su hijo; María y Catalina intentan refugiarse de tanta muerte circundante.,Drama
99,Reign,Reign: Ejecución al amanecer,Temporada 2,2,SAM13,"La peste pierde fuerza y Francisco regresa a casa con Lola y su hijo, para el disgusto de María. Luego, un poderoso noble confronta a María por la muerte de su hijo.",Drama
100,Reign,Reign: Coronación,Temporada 2,3,SAM13,"Francia es asolada por la hambruna después de la peste y María se desespera por alimentar a las masas, mientras Catalina planea la coronación.",Drama
101,Reign,Reign: Tres jinetes,Temporada 2,4,SAM13,"Francisco se prepara para el bautismo de su hijo. A María y a Lola las une el deseo de ayudar a una mujer necesitada; luego, María recibe noticias determinantes.",Drama
102,Reign,Reign: Sangre por sangre,Temporada 2,5,SAM13,"La víspera de la boda de Greer se baña de sangre y Francisco intenta ocultarle su pasado a María, porque teme que lo destruya.",Drama
103,Reign,Reign: Tres Reinas,Temporada 2,6,SAM13,"Un levantamiento campesino hace que María y Catalina escapen al bosque, mientras Francisco las busca; Lola y Narcisse se unen por intereses comunes.",Drama
104,Reign,Reign: El Príncipe de sangre,Temporada 2,7,SAM13,La hija de Catalina se aparece y crea inesperadamente una rivalidad con Kenna; Narcisse presiona a Francisco para que enfrente su conciencia o arriesgue el trono.,Drama
105,Reign,Reign: El terror de los fieles,Temporada 2,8,SAM13,La lucha entre protestantes y católicos recrudece por las demandas del emisario del Vaticano; Claudia sospecha que Catalina quiere deshacerse de ella.,Drama
106,Reign,Reign: Actos de guerra,Temporada 2,9,SAM13,"María piensa una solución para poner fin a la violencia entre protestantes y católicos, que alcanzó su punto más álgido, y resolver el problema del casamiento de Claudia.",Drama
107,Reign,Reign: Piedad,Temporada 2,10,SAM13,"La culpa carcome a Francisco por el ataque contra María y jura encontrar a los atacantes; entre tanto, Catalina recibe un visitante nocturno y fantasmagórico.",Drama
108,Reign,Reign: La huída,Temporada 2,11,SAM13,"María y Condé intentan esconderse de los inquisidores del Vaticano, mientras Kenna trata de explicar la locura y violencia de Catalina hacia la princesa Claudia.",Drama
109,Reign,Reign: Destierro,Temporada 2,12,SAM13,Aumenta la rivalidad entre Condé y Francisco por María. Catalina es confrontada por Claudia y sufre alucinaciones que la llevan a pensar en el suicidio.,Drama
110,Reign,Reign: Pecados del pasado,Temporada 2,13,SAM13,Se aproxima el gran festejo por la llegada de la primavera y Francisco espera poder reconciliarse con María; Catalina descubre la verdad detrás de sus alucinaciones.,Drama
111,Reign,Reign: El fin del luto,Temporada 2,14,SAM13,"María y Francisco descubren la conexión entre las ""locuras"" de Enrique y Catalina. Narcisse se pone celoso por la visita de uno de los pretendientes de Catalina.",Drama
112,Reign,Reign: Prohibido,Temporada 2,15,SAM13,"María recibe la visita de su madre, que le advierte sobre vivir separada de Francisco; mientras tanto, Francisco quiere que su hijo se case con la hija de un poderoso.",Drama
113,Reign,Reign: Con sabor a venganza,Temporada 2,16,SAM13,"Antonio amenaza con revelar a Francisco el amorío entre María y Condé; entre tanto, Bash descubre el plan de Kenna y su matrimonio se hunde aún más.",Drama
114,Reign,Reign: Un atractivo destino,Temporada 2,17,SAM13,"Catalina visita a Francisco para exponer la relación entre María y Condé, pero Francisco cae enfermo; Leith se convierte en el guardia personal de Claudia.",Drama
115,Reign,Reign: Cambio de camino,Temporada 2,18,SAM13,"Con Francisco enfermo, María tiene que asumir como comandante y piensa un plan para salvar Escocia; Catalina sigue complotando para exponer la infidelidad de María.",Drama
116,Reign,Reign: Abandonad,Temporada 2,19,SAM13,"A pesar de estar agradecida con Francisco por salvar Escocia, María se niega a dejar a Condé. No obstante, tras una amenaza terrorista, María y Francisco se acercan.",Drama
117,Reign,Reign: Fugitivo,Temporada 2,20,SAM13,"La alianza de Condé con Inglaterra enardece el deseo de Francisco de destruirlo, mientras Catalina insiste en que Narcisse pruebe su devoción traicionando a Lola.",Drama
118,Reign,Reign: El asedio,Temporada 2,21,SAM13,El plan de Condé para tomar el castillo se acerca a su concreción y María se arriesga para alertar a Francisco; Narcisse sufre los violentos celos de Catalina.,Drama
119,Reign,Reign: La hoguera,Temporada 2,22,SAM13,María decide aplastar la revolución de Condé; el deseo de Catalina de destruir a María involucra a la reina Isabel; el secreto de Kenna sella su destino y el de Bash.,Drama
120,Reign,"Reign: Tres reinas, dos tigres",Temporada 3,1,SAM13,"Mientras la reina Isabel y la reina Catalina unen fuerzas, la reina María lucha por conservar su poder. Entre tanto, Isabel tiene sus propios desafíos que enfrentar.",Drama
121,Reign,Reign: Compromiso,Temporada 3,2,SAM13,"Elizabeth debe hacer frente a la reacción política de albergar a Catherine en Inglaterra, mientras que Catherine es encarcelada en su regreso a Francia. Mary se ve obligada a tomar algunas decisiones difíciles acerca del futuro de Escocia y Lola está en conflicto con sus sentimientos por Narcisse.",Drama
122,Reign,Reign: Medidas extremas,Temporada 3,3,SAM13,"Cuando el rey Antoine regresa inesperadamente a la corte, Mary debe ayudar a Francis a ocultar su condición de debilitamiento el tiempo suficiente para asegurar el futuro de su familia. Con el tiempo corriendo, tienen que recurrir a un aliado poco probable en la necesidad de la redención.",Drama
123,Reign,Reign: El precio,Temporada 3,4,SAM13,"Después de que Mary recibe un mensaje urgente de su madre enferma sobre la grave situación en Escocia, ella se encuentra en busca de Francis por ayuda. Catherine se encuentra a sí misma en contra de Narcisse. Mientras tanto, Elizabeth se enfrenta a una presión continua para casarse.",Drama
124,Reign,Reign: En un claro,Temporada 3,5,SAM13,"Agradecida por un futuro con un Francis revivido, Mary considera su derecho al trono Inglés. Catherine se entera de que Nostradamus ha regresado, con una nueva visión que involucra el destino de Francis.",Drama
